Date,Open,High,Low,Close,Volume
2015-11-07,1400.0,1445.0,1376.5,1445.0,60.0
2015-11-08,1445.0,1465.0,1411.2,1440.9,20.0
2015-11-09,1440.9,1493.4,1400.0,1493.4,90.0
2015-11-10,1493.4,1493.4,1300.0,1340.0,140.0
2015-11-11,1340.0,1365.1,1161.0,1267.0,130.0
2015-11-12,1267.0,1410.0,1200.0,1366.7,130.0
2015-11-13,1366.7,1367.0,1295.8,1320.0,90.0
2015-11-14,1320.0,1330.0,1300.9,1330.0,30.0
2015-11-15,1330.0,1342.4,1280.1,1318.0,30.0
2015-11-16,1318.0,1318.5,1240.0,1291.0,120.0
2015-11-17,1291.0,1329.0,1284.4,1328.5,50.0
2015-11-18,1328.5,1337.1,1290.0,1307.0,50.0
2015-11-19,1307.0,1325.0,1280.0,1285.0,100.0
2015-11-20,1285.0,1289.0,1223.0,1237.3,50.0
2015-11-21,1237.3,1279.0,1200.0,1269.9,50.0
2015-11-22,1269.9,1277.0,1254.0,1254.0,10.0
2015-11-23,1254.0,1263.0,1216.0,1257.0,100.0
2015-11-24,1257.0,1350.0,1230.0,1249.0,130.0
2015-11-25,1249.0,1365.0,1200.0,1286.2,220.0
2015-11-26,1286.2,1414.0,1274.0,1397.0,150.0
2015-11-27,1397.0,1440.0,1369.2,1434.9,70.0
2015-11-28,1434.9,1436.0,1368.0,1419.0,90.0
2015-11-29,1419.0,1550.0,1381.0,1436.0,40.0
2015-11-30,1436.0,1525.0,1436.0,1516.9,130.0
2015-12-01,1516.9,1519.0,1410.0,1472.0,110.0
2015-12-02,1472.0,1491.0,1411.0,1469.9,80.0
2015-12-03,1469.9,1490.0,1431.1,1474.4,90.0
2015-12-04,1474.4,1475.0,1416.1,1473.0,70.0
2015-12-05,1473.0,1500.0,1457.8,1500.0,40.0
2015-12-06,1500.0,1543.3,1484.0,1539.0,100.0
2015-12-07,1539.0,1580.0,1501.1,1575.0,80.0
2015-12-08,1575.0,1635.0,1539.6,1562.7,110.0
2015-12-09,1606.0,1680.0,1600.0,1669.0,120.0
2015-12-10,1669.0,1674.0,1616.0,1674.0,120.0
2015-12-11,1674.0,1799.5,1651.8,1798.0,160.0
2015-12-12,1799.0,1849.0,1627.0,1680.0,80.0
2015-12-13,1680.0,1756.8,1680.0,1700.0,70.0
2015-12-14,1700.0,1785.3,1700.0,1760.0,90.0
2015-12-15,1760.0,1849.0,1711.1,1849.0,210.0
2015-12-16,1849.0,1855.0,1780.0,1810.0,180.0
2015-12-17,1810.0,1890.0,1783.3,1885.0,130.0
2015-12-18,1885.0,1895.0,1842.0,1863.1,100.0
2015-12-19,1863.1,1942.8,1863.1,1929.3,40.0
2015-12-20,1929.3,1929.3,1823.0,1849.0,50.0
2015-12-21,1849.0,1889.0,1743.0,1857.6,150.0
2015-12-22,1857.6,1870.0,1822.0,1864.9,70.0
2015-12-23,1864.9,1890.0,1822.0,1829.4,100.0
2015-12-24,1829.4,1888.0,1829.4,1850.9,40.0
2015-12-25,1850.9,1879.0,1850.0,1876.9,20.0
2015-12-26,1876.9,1876.9,1761.0,1761.0,40.0
2015-12-27,1761.0,1801.0,1750.0,1770.0,30.0
2015-12-28,1770.0,1780.0,1720.0,1745.0,60.0
2015-12-29,1745.0,1800.0,1706.6,1787.7,110.0
2015-12-30,1787.7,1826.4,1741.3,1812.0,50.0
2015-12-31,1812.0,1840.0,1762.2,1792.0,50.0
2016-01-01,1792.0,1821.2,1767.1,1818.0,10.0
